Region,City,Below 5,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80 and over
R8,Samar (Western Samar),43032,47104,48276,38292,26236,21990,21005,20318,18683,15526,13377,10561,9531,7606,5777,3675,3230
R8,Southern Leyte,19450,21112,21800,19231,14903,12753,12500,11341,11628,10584,9160,7518,6659,5566,4556,3005,3078
R9,City of Isabela,5629,5539,5817,5705,4624,4071,3374,3092,2714,2328,1865,1474,1064,735,516,288,302
R9,Zamboanga Del Norte,55053,54845,56404,50614,39302,32127,29477,28642,26454,23299,19095,15181,11488,9030,6776,4165,3777
R9,Zamboanga Del Sur (excluding Zamboanga City),55755,55633,56408,54381,40704,32095,30190,28443,26039,22697,19004,14675,10856,7888,6338,3859,3351
R9,Zamboanga City,46798,44958,44037,44394,37964,33031,29951,26685,23003,19263,15865,11751,8958,5703,4228,2517,2588
R9,Zamboanga Sibugay,35287,35688,34709,33164,25474,20594,17905,16836,15274,12936,10699,7858,5699,4209,3177,1826,1601
R10,Bukidnon,80257,77552,74230,71292,57116,45460,41000,36800,33460,29007,24472,17918,12062,8362,6855,4213,3551
R10,Camiguin,4378,4551,4520,4241,3097,2550,2555,2484,2410,2227,1830,1561,1288,1110,952,663,642
R10,Lanao Del Norte (excluding Iligan City),40414,41049,37714,33575,26447,22414,20010,17746,16220,12846,10017,7571,5481,3808,2993,1825,1466
R10,Iligan City,16443,16727,17401,19067,15556,12559,11203,10179,9686,8723,7412,5536,3819,2519,1917,1117,1033
R10,Misamis Occidental,28712,29579,30055,29225,23393,19023,18361,17455,16913,15190,13070,10669,8446,7049,5705,3672,3428
R10,Misamis Oriental (excluding Cagayan De Oro City),46412,45456,44172,41639,34798,27997,26493,23981,22976,20473,17200,13413,9981,7295,6175,3991,3495
R10,Cagayan De Oro City,30388,29448,29162,33817,31937,26642,23604,20037,17967,15746,13763,10326,6926,4147,3310,2088,1927
R11,Compostela Valley,38136,38325,37271,36641,30574,24280,21213,20169,18957,15867,13206,9936,7067,5238,4064,2548,2071
R11,Davao Del Norte,52069,49507,47545,49350,44828,37245,33360,29151,26216,22963,19866,15621,10473,7167,5582,3377,3143
R11,Davao Del Sur (excluding Davao City),50834,47903,47560,44757,37562,31015,28647,26351,24150,21370,18058,13775,10071,6867,5338,3342,3308
R11,Davao City,77419,72286,70424,80081,75628,63916,56191,48079,42134,35894,31374,24411,17307,11251,8356,5068,4912
R11,Davao Oriental,29842,29986,30469,26567,20839,16376,15916,14954,14259,12576,10444,7991,6272,4523,3647,2103,1784
