Region,City,Below 5,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80 and over
R6,  Capiz,36160,39467,42141,41409,33129,27635,24945,22503,21230,19470,16205,13228,9453,6848,5069,3098,2636
R6,  Guimaras,8554,8704,9072,8816,8019,6855,6103,5399,4936,4417,3770,2966,2116,1547,1255,778,691
R6,  Iloilo (excluding Iloilo City),96702,98474,97871,96554,85930,72659,64854,57130,53530,47791,40589,32308,24263,17838,13747,8615,8221
R6,  Iloilo City,20467,20162,20050,20486,20934,18810,16595,13863,12767,11522,9850,7767,5539,3236,2444,1471,1338
R6,  Negros Occidental (excluding Bacolod City),136423,140205,142023,140091,112274,90613,81426,74191,70836,63648,53209,42693,29543,21434,15979,9434,6831
R6,  Bacolod City,25916,25510,25348,25661,23761,21329,19470,17174,16002,13738,11689,9510,6680,4202,2929,1705,1286
R7,Bohol,70261,75454,72937,67574,53523,44110,40968,38771,36011,32028,27542,21596,17642,14677,10919,6919,6496
R7,"Cebu (excluding The Cities of Cebu, Lapu-Lapu, And Mandaue)",157500,155724,149066,143775,119081,103291,93792,83670,74816,66095,53971,43211,31480,22292,16285,9964,8422
R7,Cebu City,45467,43561,41481,44425,45488,40574,34464,28785,25532,22146,18097,13728,9665,5557,3825,2151,1792
R7,Lapu-Lapu City (Opon),21597,20475,17874,16517,17171,16978,15342,12591,10084,7663,5927,4215,2763,1604,1046,547,445
R7,Mandaue City,19164,17309,15424,16002,17922,17321,14692,11681,9861,7917,6307,4332,2872,1639,1041,565,464
R7,Negros Oriental,71143,73546,76952,75183,56432,46678,42660,39467,37439,35067,29340,24099,16675,12271,9889,6075,4681
R7,Siquijor,4362,4653,4555,4620,3751,3254,3077,2927,2797,2619,2285,1934,1526,1390,1002,676,593
R8,Biliran,9710,9942,10542,9701,6638,5257,4894,4806,4498,4046,3418,2748,2290,1654,1224,757,617
R8,Eastern Samar,25519,27498,28886,25745,18229,14600,13337,12562,11651,10448,8756,6857,5881,4849,3474,2313,1918
R8,Leyte (excluding Tacloban City),95052,94978,98327,91017,68186,56229,51782,47089,44394,40462,35226,27614,21041,14911,10857,6526,4974
R8,Tacloban City,12670,12531,12627,12292,10667,9227,7807,6806,6266,5594,4622,3344,2462,1602,1039,585,427
R8,Northern Samar,38791,41499,42230,35337,24889,19691,17748,16671,14948,12602,10464,8258,6714,5301,3675,1947,1485
R8,Samar (Western Samar),45610,50061,51574,44418,30367,24390,22722,22224,20248,16975,14134,10931,8598,6887,4935,2932,2152
R8,Southern Leyte,21215,22577,23413,21786,16767,13579,13243,12216,11995,11072,9443,7489,6348,4887,3798,2395,2070
R9,City of Isabela,5892,5958,6087,5329,4437,3843,3218,3040,2686,2355,1978,1456,1037,607,393,199,205
R9,Zamboanga Del Norte,58232,58555,59713,55175,42663,34989,31683,30173,28454,24970,20304,15534,11170,8404,5954,3491,2804
R9,Zamboanga Del Sur (excluding Zamboanga City),59348,59294,59489,57619,43862,35100,32450,29646,27360,23905,19776,14992,10418,7077,5470,3160,2403
R9,Zamboanga City,48454,47638,45824,43431,36645,32750,30339,26986,23808,20181,16550,12674,8691,4993,3347,1744,1380
R9,Zamboanga Sibugay,37249,37357,36759,35489,27739,22283,20005,17960,16507,14055,11376,8657,5958,4123,3091,1815,1326
R10,Bukidnon,85289,82051,78705,76938,64951,51760,46407,40730,36908,31535,26289,19613,13243,8371,6314,3661,2820
